Horodateur,Nickname,Crossbow [Damage],Crossbow [Accuracy],Crossbow [Range],Crossbow [Rate of fire],Crossbow [Reload speed],Crossbow [Recoil],Crossbow [Ammo capacity],Crossbow [Projectile speed],Flamethrower [Damage],Flamethrower [Accuracy],Flamethrower [Range],Flamethrower [Rate of fire],Flamethrower [Reload speed],Flamethrower [Recoil],Flamethrower [Ammo capacity],Flamethrower [Projectile speed],Grenade launcher [Damage],Grenade launcher [Accuracy],Grenade launcher [Range],Grenade launcher [Rate of fire],Grenade launcher [Reload speed],Grenade launcher [Recoil],Grenade launcher [Ammo capacity],Grenade launcher [Projectile speed],HMG [Damage],HMG [Accuracy],HMG [Range],HMG [Rate of fire],HMG [Reload speed],HMG [Recoil],HMG [Ammo capacity],HMG [Projectile speed],Knife [Damage],Knife [Accuracy],Knife [Range],Knife [Rate of fire],Knife [Reload speed],Knife [Recoil],Knife [Ammo capacity],Knife [Projectile speed],Revolver [Damage],Revolver [Accuracy],Revolver [Range],Revolver [Rate of fire],Revolver [Reload speed],Revolver [Recoil],Revolver [Ammo capacity],Revolver [Projectile speed],Rocket launcher [Damage],Rocket launcher [Accuracy],Rocket launcher [Range],Rocket launcher [Rate of fire],Rocket launcher [Reload speed],Rocket launcher [Recoil],Rocket launcher [Ammo capacity],Rocket launcher [Projectile speed],Shocker [Damage],Shocker [Accuracy],Shocker [Range],Shocker [Rate of fire],Shocker [Reload speed],Shocker [Recoil],Shocker [Ammo capacity],Shocker [Projectile speed],Shotgun [Damage],Shotgun [Accuracy],Shotgun [Range],Shotgun [Rate of fire],Shotgun [Reload speed],Shotgun [Recoil],Shotgun [Ammo capacity],Shotgun [Projectile speed],SMG [Damage],SMG [Accuracy],SMG [Range],SMG [Rate of fire],SMG [Reload speed],SMG [Recoil],SMG [Ammo capacity],SMG [Projectile speed],Spreadgun [Damage],Spreadgun [Accuracy],Spreadgun [Range],Spreadgun [Rate of fire],Spreadgun [Reload speed],Spreadgun [Recoil],Spreadgun [Ammo capacity],Spreadgun [Projectile speed],Comments
26/11/2022 00:44:44,,Need a buff,Need a big buff,No opinion,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,
26/11/2022 00:47:27,Bubu,Need a buff,Need a big buff,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a nerf,Need a nerf,Need a nerf,Is balanced,Is balanced,Need a nerf,Need a nerf,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Need a nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a big buff,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Need a nerf,Is balanced,Need a nerf,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Need a buff,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Need a buff,Is balanced,Is balanced,Need a buff,Is balanced,
26/11/2022 00:53:34,Bogd3nBTC,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Need a nerf,Need a big buff,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Need a nerf,No opinion,Is balanced,No opinion,Need a nerf,Is balanced,Need a big buff,Is balanced,Is balanced,Is balanced,Need a big buff,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,
26/11/2022 06:10:26,Reeluu,Is balanced,Need a big buff,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a big buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Need a big buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Need a big buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a big buff,Is balanced,Need a big buff,Need a buff,Is balanced,Is balanced,Need a big buff,
26/11/2022 12:55:00,,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Need a nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Need a nerf,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Need a big nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Is balanced,Is balanced,Need a nerf,Is balanced,Need a buff,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,
26/11/2022 12:55:11,,Is balanced,Need a nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Need a nerf,Need a nerf,Is balanced,Need a nerf,Is balanced,Need a nerf,Need a nerf,Need a big nerf,Need a nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Need a nerf,Need a big nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Need a nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,
26/11/2022 12:57:31,Cms,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Thank you
26/11/2022 12:59:00,,Need a big buff,Need a big buff,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big buff,Need a big buff,Need a big buff,No opinion,No opinion,No opinion,No opinion,No opinion,Is balanced,No opinion,Need a big nerf,No opinion,No opinion,No opinion,No opinion,No opinion,Need a big buff,Need a big buff,Need a big buff,Need a buff,No opinion,No opinion,No opinion,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Need a big buff,No opinion,No opinion,No opinion,Need a buff,No opinion,Need a nerf,No opinion,No opinion,No opinion,No opinion,No opinion,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,No opinion,No opinion,No opinion,No opinion,No opinion,Need a buff,Need a buff,Need a buff,No opinion,No opinion,No opinion,No opinion,No opinion,
26/11/2022 12:59:44,Hatter,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Need a buff,Is balanced,Need a nerf,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Need a buff,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,
26/11/2022 13:00:43,rifachnia,Need a big buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a big buff,Is balanced,Is balanced,Need a big buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big buff,Need a big buff,Is balanced,Need a buff,Is balanced,Is balanced,Need a big buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Need a nerf,Is balanced,Is balanced,No opinion,No opinion,No opinion,Need a buff,Need a buff,Need a buff,Need a buff,Need a big buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Need a nerf,Need a nerf,Is balanced,Need a nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Need a big buff,Need a buff,Is balanced,Is balanced,Need a big buff,Need a buff,Is balanced,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a big buff,"We really need long ranged weapon for meta, not only shotgun+rocket everytime... because the gameplay is getting numb if you are using the same weapon on everygame and everyday. Cheers!"
26/11/2022 13:02:12,JhonnyLaw,Need a buff,Need a buff,Need a buff,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,
26/11/2022 13:06:40,,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,
26/11/2022 13:07:49,Chinaski,Is balanced,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,No opinion,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Need a nerf,Is balanced,Need a nerf,Need a buff,Is balanced,Need a nerf,No opinion,Need a nerf,No opinion,No opinion,No opinion,No opinion,No opinion,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Need a nerf,Is balanced,No opinion,Need a nerf,No opinion,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Need a nerf,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,
26/11/2022 13:08:43,Lelea,Need a nerf,Need a big nerf,Need a big nerf,Need a nerf,Need a big nerf,Need a nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a nerf,Need a big nerf,Need a nerf,Need a big nerf,Need a big nerf,Need a nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a nerf,Need a big nerf,Need a nerf,Need a nerf,Need a big nerf,Need a nerf,Need a big nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,
26/11/2022 13:09:49,MantorMBU,Need a big buff,Need a big buff,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a buff,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Great game
26/11/2022 13:10:20,Offheadharry,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Knockback from explosive weapons and melee is a killer in this game. Especially in melee as you get stuck. Maybe consider allowing people to escape melee 
