Horodateur,Nickname,Crossbow [Damage],Crossbow [Accuracy],Crossbow [Range],Crossbow [Rate of fire],Crossbow [Reload speed],Crossbow [Recoil],Crossbow [Ammo capacity],Crossbow [Projectile speed],Flamethrower [Damage],Flamethrower [Accuracy],Flamethrower [Range],Flamethrower [Rate of fire],Flamethrower [Reload speed],Flamethrower [Recoil],Flamethrower [Ammo capacity],Flamethrower [Projectile speed],Grenade launcher [Damage],Grenade launcher [Accuracy],Grenade launcher [Range],Grenade launcher [Rate of fire],Grenade launcher [Reload speed],Grenade launcher [Recoil],Grenade launcher [Ammo capacity],Grenade launcher [Projectile speed],HMG [Damage],HMG [Accuracy],HMG [Range],HMG [Rate of fire],HMG [Reload speed],HMG [Recoil],HMG [Ammo capacity],HMG [Projectile speed],Knife [Damage],Knife [Accuracy],Knife [Range],Knife [Rate of fire],Knife [Reload speed],Knife [Recoil],Knife [Ammo capacity],Knife [Projectile speed],Revolver [Damage],Revolver [Accuracy],Revolver [Range],Revolver [Rate of fire],Revolver [Reload speed],Revolver [Recoil],Revolver [Ammo capacity],Revolver [Projectile speed],Rocket launcher [Damage],Rocket launcher [Accuracy],Rocket launcher [Range],Rocket launcher [Rate of fire],Rocket launcher [Reload speed],Rocket launcher [Recoil],Rocket launcher [Ammo capacity],Rocket launcher [Projectile speed],Shocker [Damage],Shocker [Accuracy],Shocker [Range],Shocker [Rate of fire],Shocker [Reload speed],Shocker [Recoil],Shocker [Ammo capacity],Shocker [Projectile speed],Shotgun [Damage],Shotgun [Accuracy],Shotgun [Range],Shotgun [Rate of fire],Shotgun [Reload speed],Shotgun [Recoil],Shotgun [Ammo capacity],Shotgun [Projectile speed],SMG [Damage],SMG [Accuracy],SMG [Range],SMG [Rate of fire],SMG [Reload speed],SMG [Recoil],SMG [Ammo capacity],SMG [Projectile speed],Spreadgun [Damage],Spreadgun [Accuracy],Spreadgun [Range],Spreadgun [Rate of fire],Spreadgun [Reload speed],Spreadgun [Recoil],Spreadgun [Ammo capacity],Spreadgun [Projectile speed],Comments
26/11/2022 14:17:24,deniz,Need a buff,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a nerf,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,
26/11/2022 14:20:07,knutz0r,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,
26/11/2022 14:20:51,SNTACP,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,
26/11/2022 14:20:53,Hamps,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Need a nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,"If you can get stats on weapons usage then you should also apply that as a weight against any changes you consider making.
Obv shotgun is used by Everyone, therefor more likely requires balancing down slightly.  Spread gun is never used, there's your answer, needs buff.    That said, rolling in with a shotgun is the only answer to a lot of your bigger long range weapons.

Powerful players have a big advantage currently utilising rocket + shotgun switch. "
26/11/2022 14:21:21,,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,
26/11/2022 14:22:55,,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Need a big nerf,Need a big nerf,Need a nerf,Need a nerf,Need a nerf,Need a big nerf,Need a big nerf,
26/11/2022 14:24:36,Fonseca,Need a buff,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Need a big buff,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Need a buff,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Need a big buff,Need a buff,Is balanced,Need a buff,Is balanced,Need a buff,Need a buff,Is balanced,
26/11/2022 14:39:28,Jordzack,Need a big buff,Need a buff,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Need a big buff,Need a buff,Need a buff,Is balanced,Need a buff,Need a nerf,Need a nerf,Need a big buff,Need a buff,Need a big buff,Need a buff,Is balanced,Need a buff,Need a buff,Need a nerf,Need a big buff,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big buff,Need a buff,Is balanced,Is balanced,Need a buff,Need a nerf,Need a big buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Need a buff,Need a nerf,Need a buff,Is balanced,Need a nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Need a buff,Need a nerf,Need a buff,Is balanced,Need a big buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,"Awesome game. A few tweaks where all weapons could be used as specialty/expertise should be decided by the player not the game.

Shotguns and launchers are mainly used in this game since they are OP.

Great game though, would just like to see a variety of weapons in the field. It sometimes gets boring when there is no choice but to switch to the OP weapons.

Game modes: where only one weapon is used is also a good way to have fun. it would force all players to be good at the weapon at hand. (Ex. Shockers only, HMG only, SMG only, etc.) could make it random like the map. you would not know what weapon you would be using.

Could switch it up where Mondays we can choose. Tuesday weapons would be random. something like that. "
26/11/2022 14:53:52,Domocos16WCX,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big buff,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Need a big buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,
26/11/2022 14:54:42,Bam | PaperhandsGG,Need a big buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a big buff,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Need a buff,Need a nerf,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a big nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Need a buff,Need a big buff,Need a big buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big buff,"
Keep up the good work !"
26/11/2022 14:57:04,AYAWxKOL,Need a big buff,Need a buff,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a buff,Need a buff,Need a big buff,Need a big buff,Need a buff,Need a buff,Need a big buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a big buff,Need a buff,Need a big buff,Need a buff,Need a big buff,Need a big buff,Need a buff,Need a big buff,Need a big buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Need a big buff,Need a big buff,Need a buff,Need a buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a buff,Need a big buff,Need a big buff,Need a buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a buff,Need a big buff,Need a big buff,Need a big buff,Need a buff,Need a big buff,Need a big buff,Need a buff,make all weapon applicable to the game :)
26/11/2022 14:57:07,Berlinpanther,Need a buff,Need a buff,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Please give some kind of uitility to Sprays. Maybe some bonus if the spray is applied or a lot of sprays required for recruiting of a certain class/rarity. Sprays need utility othrwise they are useless/worthless. Thank you for your effort in making this game even more amazing!
26/11/2022 15:07:45,Mojo96,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,No opinion,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a big buff,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Need a buff,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Need a buff,Need a buff,
26/11/2022 15:12:04,,Is balanced,Need a buff,Need a big buff,Is balanced,Is balanced,No opinion,Is balanced,No opinion,Need a big buff,Is balanced,Need a big buff,No opinion,No opinion,No opinion,No opinion,No opinion,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Need a nerf,Is balanced,No opinion,No opinion,No opinion,No opinion,No opinion,Is balanced,Need a big buff,Need a buff,Is balanced,Need a buff,Is balanced,Need a big buff,Need a big buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Need a buff,Is balanced,Need a buff,Need a buff,Need a nerf,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Need a buff,Need a buff,Need a big buff,Need a buff,Is balanced,Is balanced,Is balanced,Need a buff,
26/11/2022 15:13:21,,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,
26/11/2022 15:15:20,,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a nerf,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,LFG
26/11/2022 15:22:38,DJEBLI,Need a nerf,Need a nerf,Need a big nerf,Need a nerf,Is balanced,Need a nerf,Need a nerf,Is balanced,Is balanced,Need a nerf,Need a nerf,Need a nerf,Need a big nerf,Need a nerf,Is balanced,Is balanced,Need a nerf,Need a nerf,No opinion,Need a big buff,Is balanced,Is balanced,Need a big buff,Need a buff,Need a buff,Need a buff,Need a nerf,Need a buff,Need a buff,Is balanced,Need a big buff,Need a buff,Need a buff,Is balanced,Need a buff,Is balanced,Need a big buff,Need a buff,Need a big buff,Need a nerf,Is balanced,Need a buff,Need a big buff,Is balanced,Need a big buff,Need a buff,Need a buff,Is balanced,Need a big buff,Need a buff,Is balanced,Need a buff,Need a buff,Is balanced,Need a big buff,Need a big buff,Need a buff,Need a big buff,Need a buff,Is balanced,Need a buff,Need a big buff,Need a buff,Need a buff,Need a buff,Is balanced,Need a buff,Is balanced,Need a buff,Need a buff,Is balanced,Need a buff,Is balanced,Need a buff,Need a buff,Is balanced,Need a buff,Is balanced,Need a buff,Is balanced,Need a big buff,Need a buff,Need a big buff,Need a big buff,Need a buff,Need a buff,Need a buff,Need a big buff,No 
26/11/2022 15:28:51,,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a big nerf,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Can you make is fair on the gameplay can you make feel better on playing cellphone that the big problem of all cellphone user's hoping that's it's fair on playing laptop/pc
26/11/2022 15:30:37,Palz,Need a nerf,Need a big nerf,Need a nerf,Need a nerf,Need a nerf,Is balanced,Is balanced,Need a big nerf,Need a buff,Need a big buff,Need a buff,Need a buff,Need a buff,No opinion,No opinion,Need a buff,Need a buff,Need a buff,Need a buff,Need a big buff,Need a buff,No opinion,No opinion,Need a buff,Need a buff,Is balanced,Is balanced,Need a buff,Need a buff,No opinion,No opinion,Need a buff,Need a buff,Is balanced,Is balanced,No opinion,No opinion,No opinion,No opinion,No opinion,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a big buff,Need a big buff,Is balanced,Need a buff,Need a buff,Need a nerf,No opinion,No opinion,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,No opinion,No opinion,No opinion,Need a nerf,Need a buff,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Is balanced,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,Need a big buff,No opinion,No opinion,"Please have a balance match. like power graph or limits. 0 power to 1k power will fight against each other. 1001 power to 1500 power will fight. etc.
and hope those who use pc will fight pc users too.
and android users vs android users.
its very OP fighting against pc usera."